repository,size_kb,default_branch,url,disposition,rationale
skycoin44-marketing-website,10,master,https://github.com/skylerblue333/skycoin44-marketing-website,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
skycoin_production,10,main,https://github.com/skylerblue333/skycoin_production,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
system-orchestration-poc,10,main,https://github.com/skylerblue333/system-orchestration-poc,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
ultimate-blueprint,10,master,https://github.com/skylerblue333/ultimate-blueprint,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
Sky-SkySecurity,9,main,https://github.com/skylerblue333/Sky-SkySecurity,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
skycoin44-backend,6,main,https://github.com/skylerblue333/skycoin44-backend,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
skycoin44-documentation,6,main,https://github.com/skylerblue333/skycoin44-documentation,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
skycoin44-frontend,6,main,https://github.com/skylerblue333/skycoin44-frontend,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
skycoin44-infrastructure,6,main,https://github.com/skylerblue333/skycoin44-infrastructure,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
skycoin44-token,6,main,https://github.com/skylerblue333/skycoin44-token,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
